tornado_num,year,month,day,date,time,F_EF_scale,injuries,fatalities,loss_val,starting_lat,starting_long,ending_lat,ending_long,length_miles,width_yards,county_one,county_two,county_three,county_four
75,1950,5,4,5/4/50,21:00:00,1,0,0,$50 or less,40.95,-95.73,0,0,0.1,10,MILLS,NA,NA,NA
88,1950,5,8,5/8/50,19:20:00,2,0,0,Unknown,41.03,-95.27,41.02,-95.22,0.1,200,MONTGOMERY,NA,NA,NA
142,1950,6,15,6/15/50,20:00:00,3,5,0,Unknown,41.98,-93.6,41.97,-93.48,5.6,300,STORY,NA,NA,NA
155,1950,7,1,7/1/50,20:00:00,2,0,0,Unknown,42.45,-91.92,0,0,14,10,BUCHANAN,NA,NA,NA
104,1951,6,1,6/1/51,21:15:00,3,7,0,Unknown,42.07,-92.92,0,0,1.5,880,MARSHALL,NA,NA,NA
148,1951,6,19,6/19/51,16:00:00,1,0,0,Unknown,43.38,-96.25,0,0,0.5,17,LYON,NA,NA,NA
167,1951,6,25,6/25/51,17:07:00,2,8,0,Unknown,43.22,-93.8,0,0,0.8,500,HANCOCK,NA,NA,NA
193,1951,7,17,7/17/51,17:45:00,1,2,0,Unknown,43.18,-95.87,0,0,0.1,10,O'BRIEN,NA,NA,NA
224,1951,8,26,8/26/51,23:59:00,1,0,0,Unknown,42.85,-95.95,42.92,-95.87,5.6,140,PLYMOUTH,NA,NA,NA
149,1952,5,23,5/23/52,15:00:00,1,0,0,Unknown,43.33,-93.08,0,0,0.1,10,WORTH,NA,NA,NA
146,1952,5,23,5/23/52,13:00:00,2,0,0,Unknown,42.75,-92.97,0,0,0.1,17,BUTLER,NA,NA,NA
155,1952,6,2,6/2/52,18:30:00,2,1,0,Unknown,41.9,-95.4,41.88,-95.33,2.3,100,CRAWFORD,NA,NA,NA
172,1952,6,23,6/23/52,18:30:00,4,4,0,"$500,000 to $5,000,000",42.75,-95.85,42.9,-95.42,24.1,400,CHEROKEE,NA,NA,NA
192,1952,7,2,7/2/52,17:50:00,1,0,0,Unknown,43.4,-96.1,0,0,0.1,10,LYON,NA,NA,NA
235,1952,11,17,11/17/52,13:20:00,0,0,0,Unknown,41.55,-91.08,0,0,0.1,50,MUSCATINE,NA,NA,NA
58,1953,3,21,3/21/53,13:00:00,1,0,0,"$5,000 to $50,000",42.05,-95.72,41.93,-95.87,10.9,600,MONONA,NA,NA,NA
62,1953,3,21,3/21/53,17:00:00,2,0,0,"$5,000 to $50,000",41.88,-92.62,42.05,-92.55,11.7,100,TAMA,NA,NA,NA
