County Name,FIPS Code
ADAIR,1
ADAMS,3
ALLAMAKEE,5
APPANOOSE,7
AUDUBON,9
BENTON,11
BLACK HAWK,13
BOONE,15
BREMER,17
BUCHANAN,19
BUENA VISTA,21
BUTLER,23
CALHOUN,25
CARROLL,27
CASS,29
CEDAR,31
CERRO GORDO,33
CHEROKEE,35
CHICKASAW,37
CLARKE,39
CLAY,41
CLAYTON,43
CLINTON,45
CRAWFORD,47
DALLAS,49
DAVIS,51
DECATUR,53
DELAWARE,55
DES MOINES,57
DICKINSON,59
DUBUQUE,61
EMMET,63
FAYETTE,65
FLOYD,67
FRANKLIN,69
FREMONT,71
GREENE,73
GRUNDY,75
GUTHRIE,77
HAMILTON,79
HANCOCK,81
HARDIN,83
HARRISON,85
HENRY,87
HOWARD,89
HUMBOLDT,91
IDA,93
IOWA,95
JACKSON,97
JASPER,99
JEFFERSON,101
JOHNSON,103
JONES,105
KEOKUK,107
KOSSUTH,109
LEE,111
LINN,113
LOUISA,115
LUCAS,117
LYON,119
MADISON,121
MAHASKA,123
MARION,125
MARSHALL,127
MILLS,129
MITCHELL,131
MONONA,133
MONROE,135
MONTGOMERY,137
MUSCATINE,139
O'BRIEN,141
OSCEOLA,143
PAGE,145
PALO ALTO,147
PLYMOUTH,149
POCAHONTAS,151
POLK,153
POTTAWATTAMIE,155
POWESHIEK,157
RINGGOLD,159
SAC,161
SCOTT,163
SHELBY,165
SIOUX,167
STORY,169
TAMA,171
TAYLOR,173
UNION,175
VAN BUREN,177
WAPELLO,179
WARREN,181
WASHINGTON,183
WAYNE,185
WEBSTER,187
WINNEBAGO,189
WINNESHIEK,191
WOODBURY,193
WORTH,195
WRIGHT,197
