tornado_num,year,month,day,date,time,F_EF_scale,injuries,fatalities,loss_num,loss_val,crop_loss_num,crop_loss_val,starting_lat,starting_long,ending_lat,ending_long,length_miles,width_yards,num_states,state_num,tornado_segment,county_fips_01,county_fips_02,county_fips_03,county_fips_01
157,1953,5,10,5/10/53,17:30:00,4,2,0,0,Unknown,0,Unknown,43.45,-92.4,43.5,-92.38,1.9,100,3,1,2,89,0,0,0
90,1967,4,2,4/2/67,0:30:00,1,0,0,5,"$50,000 to $500,000",0,Unknown,43.47,-93.9,43.5,-93.87,0.1,200,2,1,2,189,0,0,0
231,1967,4,30,4/30/67,18:20:00,4,1,0,6,"$500,000 to $5,000,000",0,Unknown,43.45,-93.17,43.5,-93.12,3,500,2,1,2,195,0,0,0
365,1971,5,31,5/31/71,13:15:00,3,0,0,0,Unknown,0,Unknown,43.22,-95.95,43.5,-95.33,36.5,100,2,1,2,141,143,59,0
330,1985,5,30,5/30/85,21:22:00,3,25,2,7,"$5,000,000 to $50,000,000",0,Unknown,42.85,-91.53,42.88,-91.13,20,500,2,1,2,43,0,0,0
179,1986,4,26,4/26/86,18:30:00,2,2,1,6,"$500,000 to $5,000,000",0,Unknown,43.4,-96.03,43.47,-95.93,8.5,120,2,1,2,119,0,0,0
83,1990,3,13,3/13/90,16:45:00,3,0,0,5,"$50,000 to $500,000",0,Unknown,41.6,-90.28,41.62,-90.33,0.5,73,2,1,2,163,0,0,0
240,1993,5,7,5/7/93,14:57:00,2,0,0,5,"$50,000 to $500,000",0,Unknown,43.47,-96.48,43.52,-96.45,1.5,70,2,1,2,119,0,0,0
550,1993,6,19,6/19/93,15:42:00,3,0,0,5,"$50,000 to $500,000",0,Unknown,42.32,-90.72,42.5,-90.62,11,250,3,1,2,61,0,0,0
966,1995,7,27,7/27/95,16:49:00,2,0,0,5,"$50,000 to $500,000",0,Unknown,41.82,-90.62,41.8,-90.22,17,400,2,1,2,45,0,0,0
300438,2011,5,22,5/22/11,13:33:00,2,3,0,0.525,"$525,000 ",0,Unknown,43.4091,-92.4933,43.5006,-92.2469,13.88,250,2,1,2,89,0,0,0
1336,2004,6,11,6/11/04,16:56:00,3,0,0,0.19,190000,0,Unknown,43.4,-92.55,43.53,-92.55,8,150,2,1,2,89,0,0,0
360,2006,4,13,4/13/06,20:13:00,0,0,0,0.01,10000,0,Unknown,41.4,-91.12,41.38,-91.05,3.7,220,2,1,2,139,0,0,0
666,2007,6,1,6/1/07,13:28:00,2,0,0,3.25,3250000,0,Unknown,42.21,-90.43,42.25,-90.4,3.43,350,2,1,2,97,0,0,0
